PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
1000-高新核心1-子架1-3-TPA1EX8S-2(1009-高新7-EX2-1)-1009-高新落地2-子架1-3-TPA1EX8S-1(1000-高新 6-EX2-1),焦作,0.0,20200301,河南,10,4.67%,467.0,3.55%,355.07,核心链路
1000-高新核心1-子架1-4-TPA1EX8S-1(1008-高新 7-EX2-2)-1008-高新落地1-子架1-3-TPA1EX8S-1(1000-高新6-EX2-2),焦作,0.0,20200301,河南,10,5.17%,517.0,4.14%,414.12,核心链路
1008-高新落地一-子架1-10-TPA1EX8S-1(1013-高新 11-EX2-2)-1013-高新核心3-11-82EX2-2(1008-高新-12-EX2-2),焦作,0.0,20200301,河南,10,6.58%,658.0,5.22%,522.13,核心链路
1008-高新落地一-子架1-4-TPA1EX8S-1(1006-高新6-EX2-2)-1006-高新核心2-6-82EX2-2(1008-高新7-EX2-1),焦作,0.0,20200301,河南,10,13.00%,1300.0,10.81%,1080.77,核心链路
1008-高新落地一-子架1-9-TPA1EX8S-1(1016-高新 11-EX2-2)-1016-高新核心4-11-82EX2-2(1008-高新-12-EX2-1),焦作,0.0,20200301,河南,10,12.00%,1200.0,9.86%,986.36,核心链路
1009-高新落地二-子架1-10-TPA1EX8S-1(1013-高新 12-EX2-2)-1013-高新核心3-12-82EX2-2(1009-高新-12-EX2-1),焦作,0.0,20200301,河南,10,4.78%,478.0,3.70%,369.89,核心链路
1009-高新落地二-子架1-10-TPA1EX8S-2(PORT-2)-1006-高新核心2-11-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,0.85%,85.33,0.84%,84.13,核心链路
1009-高新落地二-子架1-4-TPA1EX8S-1(1006-高新-6-EX2-1)-1006-高新核心2-6-82EX2-1(1009-高新7-EX2-2),焦作,0.0,20200301,河南,10,1.45%,144.9,1.45%,144.6,核心链路
1009-高新落地二-子架1-9-TPA1EX8S-1(1016-高新-12-EX2-2)-1016-高新核心4-12-82EX2-2(1009-高新-12-EX2-2),焦作,0.0,20200301,河南,10,2.50%,250.41,2.47%,246.65,核心链路
3003-澳通苑1-子架1-10-TPA1EX8S-5(PORT-5)-8012-澳通苑-主L2/L3-1-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,22.00%,2200.0,18.29%,1828.61,核心链路
8018-铭源新城-备L2/L3-2-子架1-6-TPA1EX8-2(PORT-2)-7001-铭源新城-5-82EX2E-2(PORT-2),焦作,0.0,20200301,河南,10,2.44%,244.0,1.74%,174.44,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-3-TPA1EX8S-3(PORT-3)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-1(PORT-1),焦作,0.0,20200301,河南,10,0.40%,40.0,0.40%,39.5,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-3-TPA1EX8S-4(PORT-4)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,0.98%,98.0,0.34%,34.15,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-4-TPA1EX8S-3(PORT-3)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,0.35%,35.0,0.40%,40.39,核心链路
	#@!JIZCORELINK(10)$焦作市核心调度环19-郊县:5003-凤凰路替换-子架1-4-TPA1EX8S-4(PORT-4)-8014-凤凰路-备L2/L3-2-子架1-7-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,0.47%,47.0,0.45%,45.39,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:5011-孟州2-12-82EX2-1(PORT-1)-8013-孟州-主L2/L3-1-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,21.00%,2100.0,17.86%,1786.29,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:5011-孟州2-12-82EX2-2(PORT-2)-8013-孟州-主L2/L3-1-子架1-7-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,29.00%,2900.0,24.93%,2492.86,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:8013-孟州-L2/L3-子架1-7-TPA1EX8-1(PORT-1)-5011-孟州2-13-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,17.00%,1700.0,15.05%,1505.0,核心链路
	#@!JIZCORELINK(11)$焦作市核心调度环19-郊县:8013-孟州-L2/L3-子架1-7-TPA1EX8-2(PORT-2)-5011-孟州2-13-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,11.00%,1100.0,8.55%,854.62,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:6001-锦绣江南-4-82EX2-1(PORT-1)-8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,0.30%,30.0,0.29%,29.32,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:6001-锦绣江南-4-82EX2-2(PORT-2)-8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,1.40%,140.0,1.18%,117.71,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-1(PORT-1)-6001-锦绣江南-14-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,29.00%,2900.0,26.07%,2607.24,核心链路
	#@!JIZCORELINK(12)$焦作市核心调度环20-郊县:8016-锦绣江南L2/3-2-子架1-7-TPA1EX8-2(PORT-2)-6001-锦绣江南-14-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,40.00%,4000.0,34.92%,3491.66,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳L2/3-1-子架1-7-TPA1EX8-5(PORT-5)-6013-沁阳2-6-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,18.00%,1800.0,15.16%,1515.77,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳L2/3-1-子架1-7-TPA1EX8-6(PORT-6)-6013-沁阳2-6-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,16.00%,1600.0,12.82%,1282.15,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳-子架1-7-TPA1EX8-1(PORT-1)-6013-沁阳2-14-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,0.32%,32.0,0.37%,37.2,核心链路
	#@!JIZCORELINK(13)$焦作市核心调度环20-郊县:8015-沁阳-子架1-7-TPA1EX8-2(PORT-2)-6013-沁阳2-14-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,1.53%,153.0,0.92%,92.29,核心链路
	#@!JIZCORELINK(14)$焦作市核心调度环21-郊县:8011-武陟-L2/L3-子架1-7-TPA1EX8-2(PORT-2)-3011-武陟机房2-7-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,0.33%,33.0,0.33%,32.98,核心链路
	#@!JIZCORELINK(14)$焦作市核心调度环21-郊县:8011-武陟-L2/L3-子架1-7-TPA1EX8-3(PORT-3)-3011-武陟机房2-7-82EX2-2(PORT-2),焦作,0.0,20200301,河南,10,0.47%,47.38,0.43%,42.8,核心链路
	#@!JIZCORELINK(15)$焦作市核心调度环21-郊县:8011-武陟-L2/L3-子架1-7-TPA1EX8-1(PORT-1)-3000-武陟-6-82EX2-1(PORT-1),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(16)$焦作市核心调度环21-郊县:3003-澳通苑1-子架1-4-TPA1EX8S-3(8012-澳通苑-7-1)-8012-澳通苑-主L2/L3-1-子架1-7-TPA1EX8-1(PORT-1),焦作,0.0,20200301,河南,10,28.00%,2800.0,24.94%,2493.76,核心链路
	#@!JIZCORELINK(16)$焦作市核心调度环21-郊县:3003-澳通苑1-子架1-4-TPA1EX8S-4(8012-澳通苑-7-2)-8012-澳通苑-主L2/L3-1-子架1-7-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,49.00%,4900.0,44.53%,4453.13,核心链路
	#@!JIZCORELINK(17)$焦作市核心调度环22-市区:1034-高新替换-子架1-3-TPA1EX8S-1(PORT-1)-8001-高新-L2/L3-子架1-2(GigabitEthernet8/2/2),焦作,0.0,20200301,河南,10,1.36%,135.63,1.04%,103.92,核心链路
	#@!JIZCORELINK(17)$焦作市核心调度环22-市区:1036-生产楼-子架1-3-TPA1EX8S-3(PORT-3)-8003-生产楼-L2/L3-子架1-2(GigabitEthernet8/2/2),焦作,0.0,20200301,河南,10,22.00%,2200.0,19.15%,1914.55,核心链路
	#@!JIZCORELINK(1)$:8000-高新-L3-子架1-14-TPA1EX8S-2(PORT-2)-8011-武陟-备L2/L3-2-子架1-4-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(1)$:8000-高新-L3-子架1-14-TPA1EX8S-3(OTN8001-高新031-TQX-1)-8011-武陟-备L2/L3-2-子架1-4-TPA1EX8-3(OTN3001-武陟413-TQX-3),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(1)$:8011-武陟-备L2/L3-2-子架1-4-TPA1EX8-4(OTN3001-武陟411-TQX-1)-8000-高新-L3-子架1-14-TPA1EX8S-4(OTN8001-高新129-TQX-1),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(1)$:8011-武陟-备L2/L3-2-子架1-4-TPA1EX8-5(OTN3001-武陟411-TQX-2)-8000-高新-L3-子架1-14-TPA1EX8S-5(OTN8001-高新129-TQX-2),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(1)$:8011-武陟-备L2/L3-2-子架1-4-TPA1EX8-6(OTN3001-武陟411-TQX-3)-8000-高新-L3-子架1-14-TPA1EX8S-6(OTN8001-高新129-TQX-3),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(18)$焦作市核心调度环23-市区:1035-高新-子架1-4-TPA1EX8S-1(PORT-1)-8001-高新-L2/L3-子架1-3(GigabitEthernet8/2/3),焦作,0.0,20200301,河南,10,2.16%,216.0,1.08%,107.58,核心链路
	#@!JIZCORELINK(18)$焦作市核心调度环23-市区:1037-生产楼-子架1-3-TPA1EX8S-3(PORT-3)-8003-生产楼-L2/L3-子架1-3(GigabitEthernet8/2/3),焦作,0.0,20200301,河南,10,19.00%,1900.0,15.12%,1511.61,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-1-TPA1EX8S-6(PORT-6)-8004-高新-2-L2/L3-子架1-3(GigabitEthernet1/2/3),焦作,0.0,20200301,河南,10,0.02%,1.54,0.01%,1.43,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-1-TPA1EX8S-7(PORT-7)-8004-高新-2-L2/L3-子架1-4(GigabitEthernet1/2/4),焦作,0.0,20200301,河南,10,0.01%,1.5,0.01%,1.35,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-1(PORT-1)-8004-高新-2-L2/L3-子架1-0(GigabitEthernet1/0/0),焦作,0.0,20200301,河南,10,0.84%,83.7,0.84%,83.56,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-2(PORT-2)-8004-高新-2-L2/L3-子架1-1(GigabitEthernet1/0/1),焦作,0.0,20200301,河南,10,0.01%,0.92,0.01%,0.92,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-3(PORT-3)-8004-高新-2-L2/L3-子架1-2(GigabitEthernet1/0/2),焦作,0.0,20200301,河南,10,0.01%,0.71,0.01%,0.71,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-4(TO-8004-1/0/3)-8004-高新-2-L2/L3-子架1-3(GigabitEthernet1/0/3),焦作,0.0,20200301,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-5(TO-8004-1/0/4)-8004-高新-2-L2/L3-子架1-4(GigabitEthernet1/0/4),焦作,0.0,20200301,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-6(PORT-6)-8004-高新-2-L2/L3-子架1-0(GigabitEthernet1/2/0),焦作,0.0,20200301,河南,10,0.02%,1.97,0.02%,1.85,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-7(PORT-7)-8004-高新-2-L2/L3-子架1-1(GigabitEthernet1/2/1),焦作,0.0,20200301,河南,10,0.01%,1.46,0.01%,1.34,核心链路
	#@!JIZCORELINK(19)$:8000-高新-L3-子架1-2-TPA1EX8S-8(PORT-8)-8004-高新-2-L2/L3-子架1-2(GigabitEthernet1/2/2),焦作,0.0,20200301,河南,10,0.02%,1.6,0.02%,1.53,核心链路
	#@!JIZCORELINK(1)$:LTE骨干调度环3-焦作市:8000-高新-L3-子架1-14-TPA1EX8S-1(8011-4-EX8-1)-8011-武陟-备L2/L3-2-子架1-4-TPA1EX8-1(8000-10-0-0),焦作,0.0,20200301,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-1-TPA1EX8S-6(PORT-6)-8005-生产楼-2-L2/L3-子架1-3(GigabitEthernet1/2/3),焦作,0.0,20200301,河南,10,9.79%,979.0,6.27%,626.95,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-1-TPA1EX8S-7(PORT-7)-8005-生产楼-2-L2/L3-子架1-4(GigabitEthernet1/2/4),焦作,0.0,20200301,河南,10,8.40%,840.0,6.14%,614.31,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-1(PORT-1)-8005-生产楼-2-L2/L3-子架1-0(GigabitEthernet1/0/0),焦作,0.0,20200301,河南,10,8.85%,885.0,6.43%,642.54,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-2(PORT-2)-8005-生产楼-2-L2/L3-子架1-1(GigabitEthernet1/0/1),焦作,0.0,20200301,河南,10,8.26%,826.0,6.03%,602.68,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-3(PORT-3)-8005-生产楼-2-L2/L3-子架1-2(GigabitEthernet1/0/2),焦作,0.0,20200301,河南,10,8.85%,885.0,6.33%,633.39,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-4(PORT-4)-8005-生产楼-2-L2/L3-子架1-3(GigabitEthernet1/0/3),焦作,0.0,20200301,河南,10,8.65%,865.0,6.21%,621.35,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-5(PORT-5)-8005-生产楼-2-L2/L3-子架1-4(GigabitEthernet1/0/4),焦作,0.0,20200301,河南,10,8.55%,855.0,6.09%,609.03,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-6(PORT-6)-8005-生产楼-2-L2/L3-子架1-0(GigabitEthernet1/2/0),焦作,0.0,20200301,河南,10,8.76%,876.0,6.30%,629.87,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-7(PORT-7)-8005-生产楼-2-L2/L3-子架1-1(GigabitEthernet1/2/1),焦作,0.0,20200301,河南,10,8.86%,886.0,6.46%,645.75,核心链路
	#@!JIZCORELINK(20)$:8002-生产楼-L3-子架1-2-TPA1EX8S-8(PORT-8)-8005-生产楼-2-L2/L3-子架1-2(GigabitEthernet1/2/2),焦作,0.0,20200301,河南,10,8.75%,875.0,6.42%,641.88,核心链路
	#@!JIZCORELINK(21)$:8004-高新-2-L2/L3-子架1-1(GigabitEthernet6/0/1)-8005-生产楼-2-L2/L3-子架1-1(GigabitEthernet6/0/1),焦作,0.0,20200301,河南,10,0.00%,0.42,0.00%,0.42,核心链路
	#@!JIZCORELINK(21)$:8004-高新-2-L2/L3-子架1-1(GigabitEthernet8/0/1)-8005-生产楼-2-L2/L3-子架1-1(GigabitEthernet8/0/1),焦作,0.0,20200301,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(21)$:8004-高新-2-L2/L3-子架1-2(GigabitEthernet6/0/2)-8005-生产楼-2-L2/L3-子架1-2(GigabitEthernet6/0/2),焦作,0.0,20200301,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(21)$:LTE骨干调度环2-焦作市:8004-高新-2-L2/L3-子架1-0(GigabitEthernet6/0/0)-8005-生产楼-2-L2/L3-子架1-0(GigabitEthernet6/0/0),焦作,0.0,20200301,河南,10,0.53%,53.18,0.50%,50.36,核心链路
	#@!JIZCORELINK(21)$:LTE骨干调度环2-焦作市:8004-高新-2-L2/L3-子架1-0(GigabitEthernet8/0/0)-8005-生产楼-2-L2/L3-子架1-0(GigabitEthernet8/0/0),焦作,0.0,20200301,河南,10,6.27%,626.9,6.15%,614.63,核心链路
	#@!JIZCORELINK(22)$焦作市核心调度环10-郊县:1016-高新核心4-13-82EX2-2(8001-3/0/1)-8001-高新-L2/L3-子架1-1(GigabitEthernet3/0/1),焦作,0.0,20200301,河南,10,0.37%,37.43,0.34%,33.73,核心链路
	#@!JIZCORELINK(23)$焦作市核心调度环10-郊县:1014-生产楼核心4-子架1-3-TPA1EX8S-3(8003-生产楼6900-L2/L3-2/0/1)-8003-生产楼-L2/L3-子架1-1(GigabitEthernet2/0/1),焦作,0.0,20200301,河南,10,26.00%,2600.0,22.32%,2232.2,核心链路
	#@!JIZCORELINK(24)$焦作市核心调度环5-市区:1000-高新核心1-子架1-9-TPA1EX8S-2(8001-高新L2/L3-8/2/0)-8001-高新-L2/L3-子架1-0(GigabitEthernet8/2/0),焦作,0.0,20200301,河南,10,2.75%,274.88,2.54%,254.45,核心链路
	#@!JIZCORELINK(25)$焦作市核心调度环5-市区:1001-生产楼核心1-子架1-4-TPA1EX8S-1(8003-生产楼L2/L3-8/2/0)-8003-生产楼-L2/L3-子架1-0(GigabitEthernet8/2/0),焦作,0.0,20200301,河南,10,52.00%,5200.0,46.84%,4683.97,核心链路
	#@!JIZCORELINK(26)$焦作市核心调度环6-市区:TNL-L2/L3-PTN6900-16-2-子架1-1(GigabitEthernet8/2/1)-1013-高新-12-82EX2-1(对接高新PTN6900-L2/L3),焦作,0.0,20200301,河南,10,1.80%,180.0,1.14%,114.14,核心链路
	#@!JIZCORELINK(27)$焦作市核心调度环6-市区:1015-生产楼核心3-子架1-10-TPA1EX8S-4(8003-生产楼6900-L2/L3-8/2/1)-8003-生产楼-L2/L3-子架1-1(GigabitEthernet8/2/1),焦作,0.0,20200301,河南,10,21.00%,2100.0,17.76%,1775.83,核心链路
	#@!JIZCORELINK(2)$:8002-生产楼-L3-子架1-14-TPA1EX8S-2(OTN8007-021-TQX-3)-8012-澳通苑-主L2/L3-1-子架1-4-TPA1EX8-2(OTN3002-澳通苑023-TQX-3),焦作,0.0,20200301,河南,10,26.00%,2600.0,21.46%,2145.92,核心链路
	#@!JIZCORELINK(2)$:8002-生产楼-L3-子架1-14-TPA1EX8S-3(OTN8007-020-TQX-4)-8012-澳通苑-主L2/L3-1-子架1-4-TPA1EX8-3(OTN3002-澳通苑021-TQX-2),焦作,0.0,20200301,河南,10,28.00%,2800.0,21.87%,2186.85,核心链路
	#@!JIZCORELINK(2)$:8012-澳通苑-主L2/L3-1-子架1-4-TPA1EX8-4(OTN3002-澳通苑020-TQX-2)-8002-生产楼-L3-子架1-14-TPA1EX8S-4(OTN8007-生产楼020-TQX-3),焦作,0.0,20200301,河南,10,26.00%,2600.0,21.35%,2134.6,核心链路
	#@!JIZCORELINK(2)$:8012-澳通苑-主L2/L3-1-子架1-4-TPA1EX8-5(OTN3002-澳通苑020-TQX-1)-8002-生产楼-L3-子架1-14-TPA1EX8S-5(OTN8007-生产楼020-TQX-2),焦作,0.0,20200301,河南,10,25.00%,2500.0,21.28%,2128.3,核心链路
	#@!JIZCORELINK(2)$:8012-澳通苑-主L2/L3-1-子架1-4-TPA1EX8-6(OTN3002-澳通苑023-TQX-1)-8002-生产楼-L3-子架1-14-TPA1EX8S-6(OTN8007-生产楼021-TQX-1),焦作,0.0,20200301,河南,10,25.00%,2500.0,21.68%,2167.69,核心链路
	#@!JIZCORELINK(28)$焦作市核心调度环7-郊县:8001-高新L2/L3-子架1-0(GigabitEthernet2/0/0)-1006-高新核心2-12-82EX2-1(8002-高新L2/L3-2/0/0),焦作,0.0,20200301,河南,10,0.07%,6.91,0.07%,6.69,核心链路
	#@!JIZCORELINK(29)$焦作市核心调度环7-郊县:1007-生产楼核心2替换-子架1-9-TPA1EX8S-2(8003-生产楼L2/L3-2/0/0)-8003-生产楼-L2/L3-子架1-0(GigabitEthernet2/0/0),焦作,0.0,20200301,河南,10,0.82%,81.56,0.70%,69.69,核心链路
	#@!JIZCORELINK(2)$:LTE骨干调度环4-焦作市:8002-生产楼-L3-子架1-14-TPA1EX8S-1(OTN8002-130-TQX-1)-8012-澳通苑-主L2/L3-1-子架1-4-TPA1EX8-1(OTN2001-修武-412-TQX-1),焦作,0.0,20200301,河南,10,27.00%,2700.0,20.95%,2095.5,核心链路
	#@!JIZCORELINK(30)$焦作市核心调度环8-郊县:1006-高新核心2-5-82EX2-1(8001-3/0/0)-8001-高新-L2/L3-子架1-0(GigabitEthernet3/0/0),焦作,0.0,20200301,河南,10,0.05%,4.91,0.05%,4.9,核心链路
	#@!JIZCORELINK(31)$焦作市核心调度环8-郊县:1007-生产楼核心2替换-子架1-9-TPA1EX8S-3(8003-3/0/0)-8003-生产楼-L2/L3-子架1-0(GigabitEthernet3/0/0),焦作,0.0,20200301,河南,10,1.04%,103.71,0.69%,69.42,核心链路
	#@!JIZCORELINK(32)$焦作市核心调度环9-郊县:1014-生产楼核心4-子架1-9-TPA1EX8S-1(8003-3/0/1)-8003-生产楼-L2/L3-子架1-1(GigabitEthernet3/0/1),焦作,0.0,20200301,河南,10,9.87%,987.0,7.35%,734.87,核心链路
	#@!JIZCORELINK(33)$焦作市核心调度环9-郊县:8001-高新L2/L3-子架1-1(GigabitEthernet2/0/1)-1016-高新-12-82EX2-1(8002-高新L2/L3-2/0/1),焦作,0.0,20200301,河南,10,1.37%,137.43,1.27%,126.83,核心链路
	#@!JIZCORELINK(34)$焦作市核心调度环11-市区:1034-高新替换-子架1-4-TPA1EX8S-1(2-0-0)-8004-高新-2-L2/L3-子架1-0(GigabitEthernet2/0/0),焦作,0.0,20200301,河南,10,0.96%,96.49,0.96%,96.35,核心链路
	#@!JIZCORELINK(34)$焦作市核心调度环12-市区:1034-高新替换-子架1-4-TPA1EX8S-2(2-0-1)-8004-高新-2-L2/L3-子架1-1(GigabitEthernet2/0/1),焦作,0.0,20200301,河南,10,0.28%,27.76,0.28%,27.73,核心链路
	#@!JIZCORELINK(35)$焦作市核心调度环11-市区:1036-生产楼-子架1-3-TPA1EX8S-1(2-0-0)-8005-生产楼-2-L2/L3-子架1-0(GigabitEthernet2/0/0),焦作,0.0,20200301,河南,10,5.34%,534.0,3.19%,318.82,核心链路
	#@!JIZCORELINK(35)$焦作市核心调度环12-市区:1036-生产楼-子架1-3-TPA1EX8S-2(2-0-1)-8005-生产楼-2-L2/L3-子架1-1(GigabitEthernet2/0/1),焦作,0.0,20200301,河南,10,5.66%,566.0,3.34%,334.02,核心链路
	#@!JIZCORELINK(36)$焦作市核心调度环13-市区:1034-高新替换-子架1-9-TPA1EX8S-1(6-2-0)-8004-高新-2-L2/L3-子架1-0(GigabitEthernet6/2/0),焦作,0.0,20200301,河南,10,0.44%,44.21,0.44%,44.21,核心链路
	#@!JIZCORELINK(36)$焦作市核心调度环14-市区:1034-高新替换-子架1-9-TPA1EX8S-2(6-2-1)-8004-高新-2-L2/L3-子架1-1(GigabitEthernet6/2/1),焦作,0.0,20200301,河南,10,0.26%,25.73,0.26%,25.73,核心链路
	#@!JIZCORELINK(37)$焦作市核心调度环13-市区:1036-生产楼-子架1-10-TPA1EX8S-1(6-2-0)-8005-生产楼-2-L2/L3-子架1-0(GigabitEthernet6/2/0),焦作,0.0,20200301,河南,10,19.00%,1900.0,15.15%,1515.18,核心链路
	#@!JIZCORELINK(37)$焦作市核心调度环14-市区:1036-生产楼-子架1-10-TPA1EX8S-2(6-2-1)-8005-生产楼-2-L2/L3-子架1-1(GigabitEthernet6/2/1),焦作,0.0,20200301,河南,10,18.00%,1800.0,14.53%,1453.05,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-5-TPA1EX8-2(PORT-2)-8012-澳通苑-主L2/L3-1-子架1-5-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,0.28%,28.0,0.33%,33.31,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-5-TPA1EX8-4(PORT-4)-8012-澳通苑-主L2/L3-1-子架1-5-TPA1EX8-4(PORT-4),焦作,0.0,20200301,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-5-TPA1EX8-5(PORT-5)-8012-澳通苑-主L2/L3-1-子架1-5-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-5-TPA1EX8-6(PORT-6)-8012-澳通苑-主L2/L3-1-子架1-5-TPA1EX8-6(PORT-6),焦作,0.0,20200301,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-2(PORT-2)-8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-2(PORT-2),焦作,0.0,20200301,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-4(PORT-4)-8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-4(PORT-4),焦作,0.0,20200301,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-5(PORT-5)-8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-5(PORT-5),焦作,0.0,20200301,河南,10,0.01%,1.0,0.00%,0.24,核心链路
	#@!JIZCORELINK(3)$:8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-3(PORT-3)-8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-3(PORT-3),焦作,0.0,20200301,河南,10,1.87%,187.0,0.78%,77.6,核心链路
	#@!JIZCORELINK(38)$焦作市核心调度环15-市区:1035-高新-子架1-4-TPA1EX8S-2(2-0-2)-8004-高新-2-L2/L3-子架1-2(GigabitEthernet2/0/2),焦作,0.0,20200301,河南,10,1.40%,140.0,0.49%,49.3,核心链路
	#@!JIZCORELINK(38)$焦作市核心调度环16-市区:1035-高新-子架1-4-TPA1EX8S-3(2-0-3)-8004-高新-2-L2/L3-子架1-3(GigabitEthernet2/0/3),焦作,0.0,20200301,河南,10,1.27%,127.0,0.60%,59.7,核心链路
